customer_id,AOV,purchase_frequency,CLV,segment,action_plan
CUST0140,$328,0.024,7.87,Potential,Encourage early repurchase with offers
CUST0186,$246,0.032,7.87,Champions,"Maintain VIP relationship, upsell"
CUST0472,$300,0.026,7.81,Potential,Encourage early repurchase with offers
CUST0219,$279,0.028,7.8,Potential,Encourage early repurchase with offers
CUST0278,$324,0.024,7.77,Potential,Encourage early repurchase with offers
CUST0105,$297,0.026,7.73,Potential,Encourage early repurchase with offers
CUST0294,$275,0.028,7.71,Potential,Encourage early repurchase with offers
CUST0436,$296,0.026,7.7,Potential,Encourage early repurchase with offers
CUST0264,$226,0.034,7.69,Champions,"Maintain VIP relationship, upsell"
CUST0003,$316,0.024,7.59,Potential,Encourage early repurchase with offers
CUST0129,$291,0.026,7.57,Potential,Encourage early repurchase with offers
CUST0397,$189,0.04,7.57,Champions,"Maintain VIP relationship, upsell"
CUST0203,$236,0.032,7.56,Champions,"Maintain VIP relationship, upsell"
CUST0339,$268,0.028,7.5,Potential,Encourage early repurchase with offers
CUST0434,$250,0.03,7.5,Champions,"Maintain VIP relationship, upsell"
CUST0274,$286,0.026,7.44,Potential,Encourage early repurchase with offers
CUST0080,$265,0.028,7.42,Potential,Encourage early repurchase with offers
CUST0369,$247,0.03,7.42,Champions,"Maintain VIP relationship, upsell"
CUST0425,$308,0.024,7.39,Potential,Encourage early repurchase with offers
CUST0044,$246,0.03,7.38,Champions,"Maintain VIP relationship, upsell"
CUST0327,$227,0.032,7.28,Champions,"Maintain VIP relationship, upsell"
CUST0101,$260,0.028,7.27,Potential,Encourage early repurchase with offers
CUST0241,$303,0.024,7.26,Potential,Encourage early repurchase with offers
CUST0136,$277,0.026,7.2,Potential,Encourage early repurchase with offers
CUST0380,$277,0.026,7.2,Potential,Encourage early repurchase with offers
CUST0371,$256,0.028,7.17,Potential,Encourage early repurchase with offers
CUST0017,$224,0.032,7.16,Champions,"Maintain VIP relationship, upsell"
CUST0331,$255,0.028,7.14,Potential,Encourage early repurchase with offers
CUST0298,$274,0.026,7.13,Potential,Encourage early repurchase with offers
CUST0056,$297,0.024,7.12,Potential,Encourage early repurchase with offers
CUST0083,$273,0.026,7.11,Potential,Encourage early repurchase with offers
CUST0065,$254,0.028,7.1,Potential,Encourage early repurchase with offers
CUST0114,$294,0.024,7.06,Potential,Encourage early repurchase with offers
CUST0323,$271,0.026,7.06,Potential,Encourage early repurchase with offers
CUST0285,$294,0.024,7.05,Potential,Encourage early repurchase with offers
CUST0216,$292,0.024,7.01,Potential,Encourage early repurchase with offers
CUST0353,$292,0.024,7.01,Potential,Encourage early repurchase with offers
CUST0460,$292,0.024,7.01,Potential,Encourage early repurchase with offers
CUST0229,$269,0.026,7,Potential,Encourage early repurchase with offers
CUST0277,$292,0.024,7,Potential,Encourage early repurchase with offers
CUST0355,$269,0.026,7,Potential,Encourage early repurchase with offers
CUST0483,$218,0.032,6.96,Champions,"Maintain VIP relationship, upsell"
CUST0392,$217,0.032,6.93,Champions,"Maintain VIP relationship, upsell"
CUST0291,$266,0.026,6.91,Potential,Encourage early repurchase with offers
CUST0032,$288,0.024,6.9,Potential,Encourage early repurchase with offers
CUST0250,$287,0.024,6.9,Potential,Encourage early repurchase with offers
CUST0089,$313,0.022,6.89,Potential,Encourage early repurchase with offers
CUST0399,$287,0.024,6.88,Potential,Encourage early repurchase with offers
CUST0253,$264,0.026,6.87,Potential,Encourage early repurchase with offers
CUST0348,$229,0.03,6.87,Champions,"Maintain VIP relationship, upsell"
CUST0025,$286,0.024,6.86,Potential,Encourage early repurchase with offers
CUST0337,$342,0.02,6.85,Potential,Encourage early repurchase with offers
CUST0482,$263,0.026,6.83,Potential,Encourage early repurchase with offers
CUST0211,$310,0.022,6.82,Potential,Encourage early repurchase with offers
CUST0309,$262,0.026,6.82,Potential,Encourage early repurchase with offers
CUST0174,$261,0.026,6.79,Potential,Encourage early repurchase with offers
CUST0205,$307,0.022,6.76,Potential,Encourage early repurchase with offers
CUST0074,$307,0.022,6.75,Potential,Encourage early repurchase with offers
CUST0115,$210,0.032,6.72,Champions,"Maintain VIP relationship, upsell"
CUST0048,$238,0.028,6.68,Potential,Encourage early repurchase with offers
CUST0126,$237,0.028,6.64,Potential,Encourage early repurchase with offers
CUST0347,$302,0.022,6.64,Potential,Encourage early repurchase with offers
CUST0192,$237,0.028,6.63,Potential,Encourage early repurchase with offers
CUST0479,$255,0.026,6.63,Potential,Encourage early repurchase with offers
CUST0130,$254,0.026,6.61,Potential,Encourage early repurchase with offers
CUST0288,$206,0.032,6.61,Champions,"Maintain VIP relationship, upsell"
CUST0097,$220,0.03,6.6,Champions,"Maintain VIP relationship, upsell"
CUST0156,$254,0.026,6.6,Potential,Encourage early repurchase with offers
CUST0340,$299,0.022,6.58,Potential,Encourage early repurchase with offers
CUST0099,$328,0.02,6.56,Potential,Encourage early repurchase with offers
CUST0306,$273,0.024,6.54,Potential,Encourage early repurchase with offers
CUST0408,$327,0.02,6.53,Potential,Encourage early repurchase with offers
CUST0207,$296,0.022,6.52,Potential,Encourage early repurchase with offers
CUST0139,$296,0.022,6.5,Potential,Encourage early repurchase with offers
CUST0466,$295,0.022,6.49,Potential,Encourage early repurchase with offers
CUST0258,$323,0.02,6.46,Potential,Encourage early repurchase with offers
CUST0396,$291,0.022,6.4,Potential,Encourage early repurchase with offers
CUST0405,$266,0.024,6.38,Potential,Encourage early repurchase with offers
CUST0453,$199,0.032,6.37,Champions,"Maintain VIP relationship, upsell"
CUST0491,$289,0.022,6.36,Potential,Encourage early repurchase with offers
CUST0184,$264,0.024,6.34,Potential,Encourage early repurchase with offers
CUST0346,$263,0.024,6.32,Potential,Encourage early repurchase with offers
CUST0471,$287,0.022,6.32,Potential,Encourage early repurchase with offers
CUST0118,$243,0.026,6.31,Potential,Encourage early repurchase with offers
CUST0335,$315,0.02,6.3,Potential,Encourage early repurchase with offers
CUST0370,$262,0.024,6.3,Potential,Encourage early repurchase with offers
CUST0029,$262,0.024,6.29,Potential,Encourage early repurchase with offers
CUST0233,$262,0.024,6.29,Potential,Encourage early repurchase with offers
CUST0283,$262,0.024,6.28,Potential,Encourage early repurchase with offers
CUST0467,$286,0.022,6.28,Potential,Encourage early repurchase with offers
CUST0395,$348,0.018,6.27,Potential,Encourage early repurchase with offers
CUST0112,$241,0.026,6.26,Potential,Encourage early repurchase with offers
CUST0040,$312,0.02,6.24,Potential,Encourage early repurchase with offers
CUST0364,$260,0.024,6.24,Potential,Encourage early repurchase with offers
CUST0362,$390,0.016,6.23,Potential,Encourage early repurchase with offers
CUST0027,$311,0.02,6.22,Potential,Encourage early repurchase with offers
CUST0437,$309,0.02,6.18,Potential,Encourage early repurchase with offers
CUST0109,$342,0.018,6.16,Potential,Encourage early repurchase with offers
CUST0157,$192,0.032,6.15,Champions,"Maintain VIP relationship, upsell"
CUST0181,$279,0.022,6.15,Potential,Encourage early repurchase with offers
CUST0310,$236,0.026,6.14,Potential,Encourage early repurchase with offers
CUST0316,$256,0.024,6.14,Potential,Encourage early repurchase with offers
CUST0245,$278,0.022,6.13,Potential,Encourage early repurchase with offers
CUST0478,$236,0.026,6.13,Potential,Encourage early repurchase with offers
CUST0414,$278,0.022,6.11,Potential,Encourage early repurchase with offers
CUST0067,$338,0.018,6.09,Potential,Encourage early repurchase with offers
CUST0102,$254,0.024,6.09,Potential,Encourage early repurchase with offers
CUST0308,$203,0.03,6.09,Champions,"Maintain VIP relationship, upsell"
CUST0446,$277,0.022,6.09,Potential,Encourage early repurchase with offers
CUST0302,$304,0.02,6.07,Potential,Encourage early repurchase with offers
CUST0142,$302,0.02,6.04,Potential,Encourage early repurchase with offers
CUST0266,$177,0.034,6.03,Champions,"Maintain VIP relationship, upsell"
CUST0290,$273,0.022,6.01,Potential,Encourage early repurchase with offers
CUST0415,$250,0.024,6.01,Potential,Encourage early repurchase with offers
CUST0196,$250,0.024,5.99,Potential,Encourage early repurchase with offers
CUST0042,$230,0.026,5.98,Potential,Encourage early repurchase with offers
CUST0197,$230,0.026,5.98,Potential,Encourage early repurchase with offers
CUST0138,$332,0.018,5.97,Potential,Encourage early repurchase with offers
CUST0137,$329,0.018,5.93,Potential,Encourage early repurchase with offers
CUST0269,$296,0.02,5.91,Potential,Encourage early repurchase with offers
CUST0236,$245,0.024,5.88,Potential,Encourage early repurchase with offers
CUST0055,$245,0.024,5.87,Potential,Encourage early repurchase with offers
CUST0169,$326,0.018,5.87,Potential,Encourage early repurchase with offers
CUST0322,$326,0.018,5.87,Potential,Encourage early repurchase with offers
CUST0350,$245,0.024,5.87,Potential,Encourage early repurchase with offers
CUST0254,$266,0.022,5.85,Potential,Encourage early repurchase with offers
CUST0433,$291,0.02,5.82,Potential,Encourage early repurchase with offers
CUST0442,$264,0.022,5.8,Potential,Encourage early repurchase with offers
CUST0228,$241,0.024,5.78,Potential,Encourage early repurchase with offers
CUST0193,$289,0.02,5.77,Potential,Encourage early repurchase with offers
CUST0057,$288,0.02,5.75,Potential,Encourage early repurchase with offers
CUST0384,$261,0.022,5.75,Potential,Encourage early repurchase with offers
CUST0225,$286,0.02,5.73,Potential,Encourage early repurchase with offers
CUST0113,$286,0.02,5.72,Potential,Encourage early repurchase with offers
CUST0016,$356,0.016,5.7,Potential,Encourage early repurchase with offers
CUST0161,$316,0.018,5.7,Potential,Encourage early repurchase with offers
CUST0286,$238,0.024,5.7,Potential,Encourage early repurchase with offers
CUST0454,$237,0.024,5.69,Potential,Encourage early repurchase with offers
CUST0006,$258,0.022,5.67,Potential,Encourage early repurchase with offers
CUST0474,$355,0.016,5.67,Potential,Encourage early repurchase with offers
CUST0301,$202,0.028,5.66,Potential,Encourage early repurchase with offers
CUST0204,$216,0.026,5.63,Potential,Encourage early repurchase with offers
CUST0231,$255,0.022,5.62,Potential,Encourage early repurchase with offers
CUST0172,$255,0.022,5.6,Potential,Encourage early repurchase with offers
CUST0459,$311,0.018,5.59,Potential,Encourage early repurchase with offers
CUST0500,$278,0.02,5.56,Potential,Encourage early repurchase with offers
CUST0185,$252,0.022,5.55,Potential,Encourage early repurchase with offers
CUST0261,$252,0.022,5.54,Potential,Encourage early repurchase with offers
CUST0342,$230,0.024,5.52,Potential,Encourage early repurchase with offers
CUST0190,$306,0.018,5.51,Potential,Encourage early repurchase with offers
CUST0187,$344,0.016,5.5,Potential,Encourage early repurchase with offers
CUST0252,$211,0.026,5.49,Potential,Encourage early repurchase with offers
CUST0243,$228,0.024,5.48,Potential,Encourage early repurchase with offers
CUST0336,$343,0.016,5.48,Potential,Encourage early repurchase with offers
CUST0165,$248,0.022,5.46,Potential,Encourage early repurchase with offers
CUST0305,$248,0.022,5.46,Potential,Encourage early repurchase with offers
CUST0332,$273,0.02,5.46,Potential,Encourage early repurchase with offers
CUST0438,$303,0.018,5.45,Potential,Encourage early repurchase with offers
CUST0013,$247,0.022,5.44,Potential,Encourage early repurchase with offers
CUST0314,$226,0.024,5.43,Potential,Encourage early repurchase with offers
CUST0451,$247,0.022,5.42,Potential,Encourage early repurchase with offers
CUST0176,$270,0.02,5.4,Potential,Encourage early repurchase with offers
CUST0068,$192,0.028,5.38,Potential,Encourage early repurchase with offers
CUST0070,$243,0.022,5.34,Potential,Encourage early repurchase with offers
CUST0248,$243,0.022,5.34,Potential,Encourage early repurchase with offers
CUST0133,$296,0.018,5.33,Potential,Encourage early repurchase with offers
CUST0201,$221,0.024,5.29,Potential,Encourage early repurchase with offers
CUST0394,$240,0.022,5.29,Potential,Encourage early repurchase with offers
CUST0046,$220,0.024,5.27,Potential,Encourage early repurchase with offers
CUST0023,$263,0.02,5.26,Potential,Encourage early repurchase with offers
CUST0449,$239,0.022,5.26,Potential,Encourage early repurchase with offers
CUST0303,$262,0.02,5.25,Potential,Encourage early repurchase with offers
CUST0022,$262,0.02,5.24,Potential,Encourage early repurchase with offers
CUST0208,$291,0.018,5.24,Potential,Encourage early repurchase with offers
CUST0464,$238,0.022,5.24,Potential,Encourage early repurchase with offers
CUST0111,$174,0.03,5.22,Champions,"Maintain VIP relationship, upsell"
CUST0485,$237,0.022,5.22,Potential,Encourage early repurchase with offers
CUST0095,$237,0.022,5.21,Potential,Encourage early repurchase with offers
CUST0175,$261,0.02,5.21,Potential,Encourage early repurchase with offers
CUST0463,$237,0.022,5.21,Potential,Encourage early repurchase with offers
CUST0413,$288,0.018,5.19,Potential,Encourage early repurchase with offers
CUST0162,$236,0.022,5.18,Potential,Encourage early repurchase with offers
CUST0030,$259,0.02,5.17,Potential,Encourage early repurchase with offers
CUST0041,$286,0.018,5.16,Potential,Encourage early repurchase with offers
CUST0086,$258,0.02,5.15,Potential,Encourage early repurchase with offers
CUST0240,$257,0.02,5.15,Potential,Encourage early repurchase with offers
CUST0488,$234,0.022,5.14,Potential,Encourage early repurchase with offers
CUST0128,$285,0.018,5.13,Potential,Encourage early repurchase with offers
CUST0419,$182,0.028,5.09,Potential,Encourage early repurchase with offers
CUST0324,$281,0.018,5.06,Potential,Encourage early repurchase with offers
CUST0237,$281,0.018,5.05,Potential,Encourage early repurchase with offers
CUST0293,$253,0.02,5.05,Potential,Encourage early repurchase with offers
CUST0366,$315,0.016,5.04,Potential,Encourage early repurchase with offers
CUST0418,$251,0.02,5.03,Potential,Encourage early repurchase with offers
CUST0372,$313,0.016,5,Potential,Encourage early repurchase with offers
CUST0071,$249,0.02,4.99,Potential,Encourage early repurchase with offers
CUST0173,$249,0.02,4.97,Potential,Encourage early repurchase with offers
CUST0343,$226,0.022,4.97,Potential,Encourage early repurchase with offers
CUST0468,$275,0.018,4.96,Potential,Encourage early repurchase with offers
CUST0116,$225,0.022,4.95,Potential,Encourage early repurchase with offers
CUST0014,$353,0.014,4.94,At Risk,Optimize remarketing campaigns or replace
CUST0218,$274,0.018,4.94,Potential,Encourage early repurchase with offers
CUST0349,$275,0.018,4.94,Potential,Encourage early repurchase with offers
CUST0199,$273,0.018,4.91,Potential,Encourage early repurchase with offers
CUST0036,$306,0.016,4.9,Potential,Encourage early repurchase with offers
CUST0062,$350,0.014,4.9,At Risk,Optimize remarketing campaigns or replace
CUST0170,$306,0.016,4.9,Potential,Encourage early repurchase with offers
CUST0391,$223,0.022,4.9,Potential,Encourage early repurchase with offers
CUST0061,$243,0.02,4.86,Potential,Encourage early repurchase with offers
CUST0210,$242,0.02,4.85,Potential,Encourage early repurchase with offers
CUST0295,$220,0.022,4.84,Potential,Encourage early repurchase with offers
CUST0317,$242,0.02,4.84,Potential,Encourage early repurchase with offers
CUST0257,$242,0.02,4.83,Potential,Encourage early repurchase with offers
CUST0249,$268,0.018,4.82,Potential,Encourage early repurchase with offers
CUST0424,$268,0.018,4.82,Potential,Encourage early repurchase with offers
CUST0037,$218,0.022,4.81,Potential,Encourage early repurchase with offers
CUST0052,$219,0.022,4.81,Potential,Encourage early repurchase with offers
CUST0063,$239,0.02,4.78,Potential,Encourage early repurchase with offers
CUST0315,$297,0.016,4.75,Potential,Encourage early repurchase with offers
CUST0319,$297,0.016,4.75,Potential,Encourage early repurchase with offers
CUST0058,$262,0.018,4.71,Potential,Encourage early repurchase with offers
CUST0150,$235,0.02,4.71,Potential,Encourage early repurchase with offers
CUST0077,$235,0.02,4.7,Potential,Encourage early repurchase with offers
CUST0435,$261,0.018,4.7,Potential,Encourage early repurchase with offers
CUST0155,$234,0.02,4.69,Potential,Encourage early repurchase with offers
CUST0420,$195,0.024,4.69,Potential,Encourage early repurchase with offers
CUST0421,$213,0.022,4.69,Potential,Encourage early repurchase with offers
CUST0076,$260,0.018,4.68,Potential,Encourage early repurchase with offers
CUST0356,$233,0.02,4.67,Potential,Encourage early repurchase with offers
CUST0426,$259,0.018,4.66,Potential,Encourage early repurchase with offers
CUST0465,$259,0.018,4.66,Potential,Encourage early repurchase with offers
CUST0271,$211,0.022,4.65,Potential,Encourage early repurchase with offers
CUST0246,$210,0.022,4.62,Potential,Encourage early repurchase with offers
CUST0018,$288,0.016,4.6,Potential,Encourage early repurchase with offers
CUST0440,$288,0.016,4.6,Potential,Encourage early repurchase with offers
CUST0469,$209,0.022,4.6,Potential,Encourage early repurchase with offers
CUST0119,$254,0.018,4.58,Potential,Encourage early repurchase with offers
CUST0473,$190,0.024,4.57,Potential,Encourage early repurchase with offers
CUST0416,$228,0.02,4.56,Potential,Encourage early repurchase with offers
CUST0423,$253,0.018,4.56,Potential,Encourage early repurchase with offers
CUST0002,$379,0.012,4.54,At Risk,Optimize remarketing campaigns or replace
CUST0351,$227,0.02,4.54,Potential,Encourage early repurchase with offers
CUST0448,$189,0.024,4.54,Potential,Encourage early repurchase with offers
CUST0275,$252,0.018,4.53,Potential,Encourage early repurchase with offers
CUST0154,$251,0.018,4.52,Potential,Encourage early repurchase with offers
CUST0263,$282,0.016,4.51,Potential,Encourage early repurchase with offers
CUST0329,$282,0.016,4.51,Potential,Encourage early repurchase with offers
CUST0450,$251,0.018,4.51,Potential,Encourage early repurchase with offers
CUST0026,$224,0.02,4.49,Potential,Encourage early repurchase with offers
CUST0146,$281,0.016,4.49,Potential,Encourage early repurchase with offers
CUST0094,$224,0.02,4.48,Potential,Encourage early repurchase with offers
CUST0490,$320,0.014,4.48,At Risk,Optimize remarketing campaigns or replace
CUST0292,$203,0.022,4.47,Potential,Encourage early repurchase with offers
CUST0447,$279,0.016,4.47,Potential,Encourage early repurchase with offers
CUST0171,$202,0.022,4.45,Potential,Encourage early repurchase with offers
CUST0230,$202,0.022,4.45,Potential,Encourage early repurchase with offers
CUST0167,$222,0.02,4.44,Potential,Encourage early repurchase with offers
CUST0359,$278,0.016,4.44,Potential,Encourage early repurchase with offers
CUST0226,$246,0.018,4.43,Potential,Encourage early repurchase with offers
CUST0163,$276,0.016,4.42,Potential,Encourage early repurchase with offers
CUST0358,$245,0.018,4.41,Potential,Encourage early repurchase with offers
CUST0104,$274,0.016,4.38,Potential,Encourage early repurchase with offers
CUST0456,$243,0.018,4.38,Potential,Encourage early repurchase with offers
CUST0406,$242,0.018,4.35,Potential,Encourage early repurchase with offers
CUST0475,$271,0.016,4.33,Potential,Encourage early repurchase with offers
CUST0476,$270,0.016,4.33,Potential,Encourage early repurchase with offers
CUST0008,$216,0.02,4.32,Potential,Encourage early repurchase with offers
CUST0090,$240,0.018,4.32,Potential,Encourage early repurchase with offers
CUST0182,$270,0.016,4.32,Potential,Encourage early repurchase with offers
CUST0429,$240,0.018,4.31,Potential,Encourage early repurchase with offers
CUST0338,$195,0.022,4.3,Potential,Encourage early repurchase with offers
CUST0045,$306,0.014,4.28,At Risk,Optimize remarketing campaigns or replace
CUST0235,$214,0.02,4.28,Potential,Encourage early repurchase with offers
CUST0262,$306,0.014,4.28,At Risk,Optimize remarketing campaigns or replace
CUST0134,$267,0.016,4.27,Potential,Encourage early repurchase with offers
CUST0194,$237,0.018,4.27,Potential,Encourage early repurchase with offers
CUST0259,$266,0.016,4.26,Potential,Encourage early repurchase with offers
CUST0357,$194,0.022,4.26,Potential,Encourage early repurchase with offers
CUST0441,$304,0.014,4.26,At Risk,Optimize remarketing campaigns or replace
CUST0168,$212,0.02,4.25,Potential,Encourage early repurchase with offers
CUST0188,$265,0.016,4.24,Potential,Encourage early repurchase with offers
CUST0499,$236,0.018,4.24,Potential,Encourage early repurchase with offers
CUST0373,$264,0.016,4.23,Potential,Encourage early repurchase with offers
CUST0120,$264,0.016,4.22,Potential,Encourage early repurchase with offers
CUST0131,$301,0.014,4.22,At Risk,Optimize remarketing campaigns or replace
CUST0234,$264,0.016,4.22,Potential,Encourage early repurchase with offers
CUST0493,$264,0.016,4.22,Potential,Encourage early repurchase with offers
CUST0318,$191,0.022,4.2,Potential,Encourage early repurchase with offers
CUST0375,$233,0.018,4.2,Potential,Encourage early repurchase with offers
CUST0379,$299,0.014,4.18,At Risk,Optimize remarketing campaigns or replace
CUST0209,$259,0.016,4.15,Potential,Encourage early repurchase with offers
CUST0334,$258,0.016,4.12,Potential,Encourage early repurchase with offers
CUST0333,$292,0.014,4.08,At Risk,Optimize remarketing campaigns or replace
CUST0388,$340,0.012,4.08,At Risk,Optimize remarketing campaigns or replace
CUST0352,$254,0.016,4.06,Potential,Encourage early repurchase with offers
CUST0148,$405,0.01,4.05,At Risk,Optimize remarketing campaigns or replace
CUST0082,$184,0.022,4.04,Potential,Encourage early repurchase with offers
CUST0149,$253,0.016,4.04,Potential,Encourage early repurchase with offers
CUST0244,$184,0.022,4.04,Potential,Encourage early repurchase with offers
CUST0081,$252,0.016,4.03,Potential,Encourage early repurchase with offers
CUST0367,$287,0.014,4.02,At Risk,Optimize remarketing campaigns or replace
CUST0486,$168,0.024,4.02,Potential,Encourage early repurchase with offers
CUST0124,$223,0.018,4.01,Potential,Encourage early repurchase with offers
CUST0121,$249,0.016,3.99,Potential,Encourage early repurchase with offers
CUST0410,$199,0.02,3.99,Potential,Encourage early repurchase with offers
CUST0481,$248,0.016,3.97,Potential,Encourage early repurchase with offers
CUST0280,$220,0.018,3.96,Potential,Encourage early repurchase with offers
CUST0328,$396,0.01,3.96,At Risk,Optimize remarketing campaigns or replace
CUST0227,$219,0.018,3.95,Potential,Encourage early repurchase with offers
CUST0387,$165,0.024,3.95,Potential,Encourage early repurchase with offers
CUST0108,$246,0.016,3.94,Potential,Encourage early repurchase with offers
CUST0223,$218,0.018,3.93,Potential,Encourage early repurchase with offers
CUST0432,$327,0.012,3.92,At Risk,Optimize remarketing campaigns or replace
CUST0085,$280,0.014,3.91,At Risk,Optimize remarketing campaigns or replace
CUST0151,$245,0.016,3.91,Potential,Encourage early repurchase with offers
CUST0312,$217,0.018,3.9,Potential,Encourage early repurchase with offers
CUST0060,$243,0.016,3.89,Potential,Encourage early repurchase with offers
CUST0125,$194,0.02,3.89,Potential,Encourage early repurchase with offers
CUST0093,$276,0.014,3.87,At Risk,Optimize remarketing campaigns or replace
CUST0141,$242,0.016,3.87,Potential,Encourage early repurchase with offers
CUST0024,$239,0.016,3.83,Potential,Encourage early repurchase with offers
CUST0064,$273,0.014,3.82,At Risk,Optimize remarketing campaigns or replace
CUST0145,$272,0.014,3.81,At Risk,Optimize remarketing campaigns or replace
CUST0287,$238,0.016,3.81,Potential,Encourage early repurchase with offers
CUST0122,$190,0.02,3.8,Potential,Encourage early repurchase with offers
CUST0132,$211,0.018,3.8,Potential,Encourage early repurchase with offers
CUST0177,$190,0.02,3.8,Potential,Encourage early repurchase with offers
CUST0232,$211,0.018,3.8,Potential,Encourage early repurchase with offers
CUST0498,$237,0.016,3.8,Potential,Encourage early repurchase with offers
CUST0001,$172,0.022,3.79,Potential,Encourage early repurchase with offers
CUST0304,$237,0.016,3.79,Potential,Encourage early repurchase with offers
CUST0050,$189,0.02,3.77,Potential,Encourage early repurchase with offers
CUST0200,$236,0.016,3.77,Potential,Encourage early repurchase with offers
CUST0272,$209,0.018,3.77,Potential,Encourage early repurchase with offers
CUST0341,$312,0.012,3.74,At Risk,Optimize remarketing campaigns or replace
CUST0180,$309,0.012,3.71,At Risk,Optimize remarketing campaigns or replace
CUST0038,$265,0.014,3.7,At Risk,Optimize remarketing campaigns or replace
CUST0202,$264,0.014,3.7,At Risk,Optimize remarketing campaigns or replace
CUST0409,$307,0.012,3.69,At Risk,Optimize remarketing campaigns or replace
CUST0069,$263,0.014,3.68,At Risk,Optimize remarketing campaigns or replace
CUST0019,$203,0.018,3.65,Potential,Encourage early repurchase with offers
CUST0374,$261,0.014,3.65,At Risk,Optimize remarketing campaigns or replace
CUST0444,$304,0.012,3.65,At Risk,Optimize remarketing campaigns or replace
CUST0445,$203,0.018,3.65,Potential,Encourage early repurchase with offers
CUST0191,$259,0.014,3.63,At Risk,Optimize remarketing campaigns or replace
CUST0457,$182,0.02,3.63,Potential,Encourage early repurchase with offers
CUST0164,$181,0.02,3.61,Potential,Encourage early repurchase with offers
CUST0268,$180,0.02,3.61,Potential,Encourage early repurchase with offers
CUST0054,$257,0.014,3.6,At Risk,Optimize remarketing campaigns or replace
CUST0439,$300,0.012,3.6,At Risk,Optimize remarketing campaigns or replace
CUST0034,$359,0.01,3.59,At Risk,Optimize remarketing campaigns or replace
CUST0073,$224,0.016,3.58,Potential,Encourage early repurchase with offers
CUST0480,$295,0.012,3.54,At Risk,Optimize remarketing campaigns or replace
CUST0345,$196,0.018,3.53,Potential,Encourage early repurchase with offers
CUST0242,$250,0.014,3.5,At Risk,Optimize remarketing campaigns or replace
CUST0430,$175,0.02,3.5,Potential,Encourage early repurchase with offers
